demand_node_index,truck_node_index,distance,scaled_demand
demand2,truck8,113.77854156039554,37
demand2,truck9,111.96374968712873,38
demand2,truck13,234.88908404975282,13
demand2,truck17,289.32711131321645,2
demand2,truck27,355.8132278631459,0
demand2,truck28,414.47180939454455,0
demand2,truck29,417.79710871686734,0
demand2,truck30,425.3201004486709,0
demand2,truck32,626.876133305109,0
demand2,truck35,459.8996421904717,0
demand2,truck36,482.9837096927662,0
demand2,truck43,593.4367886101345,0
demand2,truck52,272.54559382820423,5
demand2,truck54,345.3037822215337,0
demand2,truck55,581.8418020532891,0
demand2,truck56,482.8928870759717,0
demand12,truck8,190.05043394836605,3
demand12,truck9,113.3143871471586,5
demand12,truck13,216.52407362733103,2
demand12,truck17,194.45700745233688,3
demand12,truck27,293.8910185703953,0
demand12,truck28,352.54960010179394,0
demand12,truck29,322.92700485598783,0
demand12,truck30,330.4499965877914,0
demand12,truck32,532.0060294442294,0
demand12,truck35,365.0295383295922,0
demand12,truck36,388.1136058318867,0
demand12,truck43,498.56668474925493,0
demand12,truck52,177.67548996732467,3
demand12,truck54,250.43367836065423,1
demand12,truck55,486.9716981924097,0
demand12,truck56,388.9264112796008,0
demand13,truck8,324.803250771046,0
demand13,truck9,248.31470475933293,9
demand13,truck13,292.1222070957321,1
demand13,truck17,104.78624994793587,34
demand13,truck27,287.65783282172174,2
demand13,truck28,314.3729473405976,0
demand13,truck29,234.12864411447984,12
demand13,truck30,241.65163584628343,10
demand13,truck32,443.20766870272143,0
demand13,truck35,276.23117758808417,4
demand13,truck36,299.31524509037865,0
demand13,truck43,409.7683240077469,0
demand13,truck52,171.44230421865103,22
demand13,truck54,161.63531761914626,24
demand13,truck55,398.17333745090167,0
demand13,truck56,299.25565377519973,0
demand14,truck8,195.7332627410902,21
demand14,truck9,118.99721593988276,36
demand14,truck13,199.63489214255472,20
demand14,truck17,177.56782596756054,24
demand14,truck27,277.00183708561906,5
demand14,truck28,335.6604186170177,0
demand14,truck29,306.0378233712115,0
demand14,truck30,313.5608151030151,0
demand14,truck32,515.1168479594531,0
demand14,truck35,348.14035684481587,0
demand14,truck36,371.22442434711036,0
demand14,truck43,481.6775032644786,0
demand14,truck52,160.78630848254835,28
demand14,truck54,233.5444968758779,13
demand14,truck55,470.0825167076334,0
demand14,truck56,372.03722979482444,0
demand18,truck8,244.5334408403735,1
demand18,truck9,168.0448948286604,3
demand18,truck13,211.85239716505956,2
demand18,truck17,189.7853309900654,3
demand18,truck27,221.41502848487693,2
demand18,truck28,280.07361001627555,0
demand18,truck29,250.45101477046936,1
demand18,truck30,257.9740065022729,1
demand18,truck32,459.53003935871095,0
demand18,truck35,292.5535482440737,0
demand18,truck36,315.63761574636817,0
demand18,truck43,426.09069466373643,0
demand18,truck52,105.19949988180623,5
demand18,truck54,177.95768827513578,3
demand18,truck55,414.4957081068912,0
demand18,truck56,316.58530597288876,0
demand19,truck8,219.55047943844954,12
demand19,truck9,226.04719098476488,11
demand19,truck13,186.86943576313558,17
demand19,truck17,221.27364999414263,12
demand19,truck27,191.1897009976063,16
demand19,truck28,249.8482825290049,8
demand19,truck29,260.9246353968907,6
demand19,truck30,268.4476271286943,5
demand19,truck32,470.00365998513234,0
demand19,truck35,303.0271688704951,0
demand19,truck36,326.11123637278956,0
demand19,truck43,436.5643152901578,0
demand19,truck52,115.67312050822767,28
demand19,truck54,188.4313089015572,17
demand19,truck55,424.9693287333126,0
demand19,truck56,327.05892659931015,0
demand21,truck8,325.188648727644,0
demand21,truck9,248.70010271593094,13
demand21,truck13,292.5076050523301,2
demand21,truck17,105.17164790453386,49
demand21,truck27,205.8523162103568,24
demand21,truck28,264.5108977417554,9
demand21,truck29,234.51404207107785,16
demand21,truck30,242.03703380288144,14
demand21,truck32,443.59306665931945,0
demand21,truck35,276.6165755446822,6
demand21,truck36,299.70064304697667,0
demand21,truck43,410.1537219643449,0
demand21,truck52,89.63678760728611,50
demand21,truck54,162.02071557574428,34
demand21,truck55,398.5587354074997,0
demand21,truck56,299.64105173179775,0
demand22,truck8,410.3337235288263,0
demand22,truck9,333.5976767276189,0
demand22,truck13,378.30880712852655,0
demand22,truck17,156.17786592075834,25
demand22,truck27,330.59361843073077,0
demand22,truck28,258.77849198039775,7
demand22,truck29,178.53418875428,21
demand22,truck30,186.05718048608358,20
demand22,truck32,327.6161421670135,0
demand22,truck35,220.63672222788438,14
demand22,truck36,243.7207897301788,10
demand22,truck43,354.1738686475471,0
demand22,truck52,240.58694790508665,10
demand22,truck54,167.97364399844164,23
demand22,truck55,342.5788820907018,0
demand22,truck56,168.8670201006391,23
demand26,truck8,508.8918079816604,0
demand26,truck9,432.4032619699473,0
demand26,truck13,476.2107643063465,0
demand26,truck17,254.9522198614714,2
demand26,truck27,329.83396675539467,0
demand26,truck28,258.01884030506164,2
demand26,truck29,177.7745370789439,6
demand26,truck30,120.55902464704793,9
demand26,truck32,201.1134273989351,5
demand26,truck35,209.01817267493087,5
demand26,truck36,232.1022401772253,3
demand26,truck43,342.5553190945936,0
demand26,truck52,266.7118494283627,2
demand26,truck54,194.09854552171768,5
demand26,truck55,223.96330532323577,4
demand26,truck56,126.79120411364661,9
demand33,truck8,412.0276156336662,0
demand33,truck9,441.82916648695726,0
demand33,truck13,379.3465719583523,0
demand33,truck17,314.9998323587929,0
demand33,truck27,175.15731451955608,28
demand33,truck28,103.34218806922301,44
demand33,truck29,180.89630003012897,27
demand33,truck30,245.34514130806897,12
demand33,truck32,397.8598490502578,0
demand33,truck35,194.6810198930191,24
demand33,truck36,173.31852557200872,29
demand33,truck43,283.771604489377,4
demand33,truck52,276.13775394537265,5
demand33,truck54,254.14615801903918,10
demand33,truck55,352.8255177984381,0
demand33,truck56,330.840993977297,0
