index,x,y
truck8,164.62860650705954,130.41736227045075
truck9,218.6764886433395,145.63272120200335
truck13,102.50460405156538,208.35726210350586
truck17,310.62001227747083,222.02003338898166
truck27,173.94720687538367,340.3272120200334
truck28,224.88888888888889,335.97996661101837
truck29,296.0208717004297,350.8848080133556
truck30,332.05279312461636,352.12687813021705
truck32,487.0521792510743,379.1419031719533
truck35,288.8766114180479,385.35225375626044
truck36,303.16513198281154,414.85141903171956
truck43,290.42971147943524,506.7646076794658
truck52,241.9729895641498,281.94991652754595
truck54,320.5598526703499,273.5659432387312
truck55,387.0325352977287,454.5976627712855
truck56,404.11663597298957,294.3706176961603
